Please enter the amount of episodes: 
Map size: 10x10
Solver: hamilton

Episode 1 - SUCCESS! (steps: 1829)
Episode 2 - SUCCESS! (steps: 1726)
Episode 3 - SUCCESS! (steps: 1680)
Episode 4 - SUCCESS! (steps: 1856)
Episode 5 - SUCCESS! (steps: 1794)
Episode 6 - SUCCESS! (steps: 1851)
Episode 7 - SUCCESS! (steps: 1851)
Episode 8 - SUCCESS! (steps: 1933)
Episode 9 - SUCCESS! (steps: 1747)
Episode 10 - SUCCESS! (steps: 1577)
Episode 11 - SUCCESS! (steps: 1653)
Episode 12 - SUCCESS! (steps: 1974)
Episode 13 - SUCCESS! (steps: 1662)
Episode 14 - SUCCESS! (steps: 1773)
Episode 15 - SUCCESS! (steps: 1811)
Episode 16 - SUCCESS! (steps: 2038)
Episode 17 - SUCCESS! (steps: 1736)
Episode 18 - SUCCESS! (steps: 1830)
Episode 19 - SUCCESS! (steps: 1719)
Episode 20 - SUCCESS! (steps: 1642)
Episode 21 - SUCCESS! (steps: 1813)
Episode 22 - SUCCESS! (steps: 1913)
Episode 23 - SUCCESS! (steps: 1873)
Episode 24 - SUCCESS! (steps: 1983)
Episode 25 - SUCCESS! (steps: 1715)
Episode 26 - SUCCESS! (steps: 1704)
Episode 27 - SUCCESS! (steps: 1914)
Episode 28 - SUCCESS! (steps: 1786)
Episode 29 - SUCCESS! (steps: 2020)
Episode 30 - SUCCESS! (steps: 1955)
Episode 31 - SUCCESS! (steps: 1852)
Episode 32 - SUCCESS! (steps: 1812)
Episode 33 - SUCCESS! (steps: 1851)
Episode 34 - SUCCESS! (steps: 1923)
Episode 35 - SUCCESS! (steps: 1848)
Episode 36 - SUCCESS! (steps: 1706)
Episode 37 - SUCCESS! (steps: 1716)
Episode 38 - SUCCESS! (steps: 1683)
Episode 39 - SUCCESS! (steps: 1932)
Episode 40 - SUCCESS! (steps: 1759)
Episode 41 - SUCCESS! (steps: 1999)
Episode 42 - SUCCESS! (steps: 2053)
Episode 43 - SUCCESS! (steps: 1895)
Episode 44 - SUCCESS! (steps: 1699)
Episode 45 - SUCCESS! (steps: 1560)
Episode 46 - SUCCESS! (steps: 1577)
Episode 47 - SUCCESS! (steps: 1923)
Episode 48 - SUCCESS! (steps: 1732)
Episode 49 - SUCCESS! (steps: 1916)
Episode 50 - SUCCESS! (steps: 1775)
Episode 51 - SUCCESS! (steps: 1663)
Episode 52 - SUCCESS! (steps: 1852)
Episode 53 - SUCCESS! (steps: 1837)
Episode 54 - SUCCESS! (steps: 1661)
Episode 55 - SUCCESS! (steps: 1584)
Episode 56 - SUCCESS! (steps: 1760)
Episode 57 - SUCCESS! (steps: 1699)
Episode 58 - SUCCESS! (steps: 2003)
Episode 59 - SUCCESS! (steps: 1590)
Episode 60 - SUCCESS! (steps: 1688)
Episode 61 - SUCCESS! (steps: 1778)
Episode 62 - SUCCESS! (steps: 1790)
Episode 63 - SUCCESS! (steps: 1470)
Episode 64 - SUCCESS! (steps: 1821)
Episode 65 - SUCCESS! (steps: 1937)
Episode 66 - SUCCESS! (steps: 1920)
Episode 67 - SUCCESS! (steps: 1916)
Episode 68 - SUCCESS! (steps: 1913)
Episode 69 - SUCCESS! (steps: 1826)
Episode 70 - SUCCESS! (steps: 1744)
Episode 71 - SUCCESS! (steps: 1836)
Episode 72 - SUCCESS! (steps: 1924)
Episode 73 - SUCCESS! (steps: 1768)
Episode 74 - SUCCESS! (steps: 1808)
Episode 75 - SUCCESS! (steps: 1711)
Episode 76 - SUCCESS! (steps: 1591)
Episode 77 - SUCCESS! (steps: 1752)
Episode 78 - SUCCESS! (steps: 1873)
Episode 79 - SUCCESS! (steps: 1890)
Episode 80 - SUCCESS! (steps: 1739)
Episode 81 - SUCCESS! (steps: 1749)
Episode 82 - SUCCESS! (steps: 1794)
Episode 83 - SUCCESS! (steps: 1738)
Episode 84 - SUCCESS! (steps: 1917)
Episode 85 - SUCCESS! (steps: 1774)
Episode 86 - SUCCESS! (steps: 1827)
Episode 87 - SUCCESS! (steps: 1686)
Episode 88 - SUCCESS! (steps: 1582)
Episode 89 - SUCCESS! (steps: 1814)
Episode 90 - SUCCESS! (steps: 1874)
Episode 91 - SUCCESS! (steps: 1711)
Episode 92 - SUCCESS! (steps: 1539)
Episode 93 - SUCCESS! (steps: 1755)
Episode 94 - SUCCESS! (steps: 1940)
Episode 95 - SUCCESS! (steps: 1386)
Episode 96 - SUCCESS! (steps: 1672)
Episode 97 - SUCCESS! (steps: 1801)
Episode 98 - SUCCESS! (steps: 1733)
Episode 99 - SUCCESS! (steps: 1758)
Episode 100 - SUCCESS! (steps: 1653)

[Summary]
Total: 100
Successful: 100
Success Ratio: 100.00%
Average Success Steps:1786.16
